,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports
34772,University of Alabama at Birmingham,1,NCAA Division I-FBS,3905,135.0,11234371.0,10587110.0,10587110.0,Football
34803,The University of Alabama,1,NCAA Division I-FBS,13351,138.0,111102134.0,62944472.0,62944472.0,Football
34826,Auburn University,1,NCAA Division I-FBS,10584,110.0,93562715.0,43605320.0,43605320.0,Football
35008,University of South Alabama,1,NCAA Division I-FBS,3989,116.0,10637547.0,10920153.0,10920153.0,Football
35038,Troy University,1,NCAA Division I-FBS,3790,139.0,9513418.0,8741459.0,8741459.0,Football
35073,Arizona State University-Tempe,1,NCAA Division I-FBS,21779,125.0,47463786.0,50151443.0,50151443.0,Football
35096,University of Arizona,1,NCAA Division I-FBS,13852,128.0,44011760.0,32153926.0,32153926.0,Football
35257,University of Arkansas,1,NCAA Division I-FBS,9529,123.0,67851084.0,44633637.0,44633637.0,Football
35277,Arkansas State University-Main Campus,1,NCAA Division I-FBS,2944,121.0,6518834.0,6518834.0,6518834.0,Football
35607,California State University-Fresno,1,NCAA Division I-FBS,8030,114.0,17870018.0,17870018.0,17870018.0,Football
35684,University of California-Berkeley,1,NCAA Division I-FBS,14016,119.0,32650505.0,25140854.0,25140854.0,Football
35724,University of California-Los Angeles,1,NCAA Division I-FBS,12930,122.0,39891547.0,46765107.0,46765107.0,Football
36609,San Diego State University,1,NCAA Division I-FBS,12235,111.0,14900547.0,15531066.0,15531066.0,Football
36679,San Jose State University,1,NCAA Division I-FBS,11891,108.0,10921731.0,10921731.0,10921731.0,Football
36861,University of Southern California,1,NCAA Division I-FBS,8903,110.0,60171935.0,32949542.0,32949542.0,Football
36973,University of Colorado Boulder,1,NCAA Division I-FBS,14952,110.0,43468471.0,22082244.0,22082244.0,Football
37017,Colorado State University-Fort Collins,1,NCAA Division I-FBS,10253,115.0,21696561.0,21696561.0,21696561.0,Football
37178,University of Connecticut,1,NCAA Division I-FBS,9096,98.0,18955517.0,15135138.0,15135138.0,Football
37552,University of Central Florida,1,NCAA Division I-FBS,18065,132.0,26822661.0,21610325.0,21610325.0,Football
37608,Florida Atlantic University,1,NCAA Division I-FBS,7020,128.0,10592032.0,10592032.0,10592032.0,Football
37652,Florida International University,1,NCAA Division I-FBS,11403,103.0,9333891.0,9236441.0,9236441.0,Football
37680,Florida State University,1,NCAA Division I-FBS,12663,126.0,87510028.0,57732569.0,57732569.0,Football
37691,University of Florida,1,NCAA Division I-FBS,13411,129.0,87985713.0,47342367.0,47342367.0,Football
37754,University of Miami,1,NCAA Division I-FBS,4874,109.0,57144810.0,37268190.0,37268190.0,Football
37859,University of South Florida-Main Campus,1,NCAA Division I-FBS,10999,111.0,13336920.0,13334071.0,13334071.0,Football
38109,Georgia Institute of Technology-Main Campus,1,NCAA Division I-FBS,8510,119.0,52125034.0,25096298.0,25096298.0,Football
38133,Georgia Southern University,1,NCAA Division I-FBS,7763,127.0,6881771.0,6881771.0,6881771.0,Football
38144,Georgia State University,1,NCAA Division I-FBS,7989,123.0,7834970.0,7834970.0,7834970.0,Football
38154,University of Georgia,1,NCAA Division I-FBS,11605,131.0,129023591.0,44909546.0,44909546.0,Football
38329,University of Hawaii at Manoa,1,NCAA Division I-FBS,4647,117.0,11177559.0,11177559.0,11177559.0,Football
38350,Boise State University,1,NCAA Division I-FBS,5682,109.0,20470985.0,11803457.0,11803457.0,Football
38369,University of Idaho,1,NCAA Division I-FBS,3737,111.0,6535395.0,6535395.0,6535395.0,Football
38614,University of Illinois at Urbana-Champaign,1,NCAA Division I-FBS,17464,108.0,51295520.0,22217186.0,22217186.0,Football
38908,Northern Illinois University,1,NCAA Division I-FBS,5835,104.0,8610948.0,8610948.0,8610948.0,Football
38920,Northwestern University,1,NCAA Division I-FBS,4047,115.0,49703674.0,30031305.0,30031305.0,Football
39160,Ball State University,1,NCAA Division I-FBS,6190,113.0,7205016.0,7205016.0,7205016.0,Football
39363,Indiana University-Bloomington,1,NCAA Division I-FBS,16179,125.0,51856180.0,24374745.0,24374745.0,Football
39431,University of Notre Dame,1,NCAA Division I-FBS,4467,114.0,107434072.0,42822063.0,42822063.0,Football
39711,Iowa State University,1,NCAA Division I-FBS,16398,133.0,44264830.0,23088361.0,23088361.0,Football
39740,University of Iowa,1,NCAA Division I-FBS,9899,123.0,75963196.0,33092807.0,33092807.0,Football
40143,University of Kansas,1,NCAA Division I-FBS,8325,114.0,34159741.0,19470504.0,19470504.0,Football
40163,Kansas State University,1,NCAA Division I-FBS,8854,124.0,41333499.0,20571556.0,20571556.0,Football
40442,University of Kentucky,1,NCAA Division I-FBS,9218,123.0,40035938.0,27206659.0,27206659.0,Football
40476,University of Louisville,1,NCAA Division I-FBS,5635,102.0,43649769.0,26858473.0,26858473.0,Football
40588,Western Kentucky University,1,NCAA Division I-FBS,5456,123.0,7770653.0,7770653.0,7770653.0,Football
40630,Louisiana State University and Agricultural & Mechanical College,1,NCAA Division I-FBS,10492,120.0,86579944.0,31561996.0,31561996.0,Football
40661,Louisiana Tech University,1,NCAA Division I-FBS,4191,100.0,8345817.0,8177657.0,8177657.0,Football
40707,University of Louisiana at Monroe,1,NCAA Division I-FBS,1876,125.0,5198019.0,5198019.0,5198019.0,Football
40749,University of Louisiana at Lafayette,1,NCAA Division I-FBS,5724,123.0,9793993.0,9793993.0,9793993.0,Football
40757,Tulane University of Louisiana,1,NCAA Division I-FBS,2765,109.0,14191889.0,14191889.0,14191889.0,Football
41081,University of Maryland-College Park,1,NCAA Division I-FBS,14594,121.0,34572475.0,19881239.0,19881239.0,Football
41308,Boston College,1,NCAA Division I-FBS,4495,106.0,32378875.0,23477213.0,23477213.0,Football
41547,University of Massachusetts-Amherst,1,NCAA Division I-FBS,10958,113.0,10010932.0,10010932.0,10010932.0,Football
41961,Central Michigan University,1,NCAA Division I-FBS,6696,114.0,7261558.0,7261558.0,7261558.0,Football
42023,Eastern Michigan University,1,NCAA Division I-FBS,4984,113.0,8551496.0,8551496.0,8551496.0,Football
42186,University of Michigan-Ann Arbor,1,NCAA Division I-FBS,14205,135.0,124928493.0,43453382.0,43453382.0,Football
42203,Michigan State University,1,NCAA Division I-FBS,17314,117.0,77930837.0,33528479.0,33528479.0,Football
42367,Western Michigan University,1,NCAA Division I-FBS,7654,105.0,9197073.0,9197073.0,9197073.0,Football
42562,University of Minnesota-Twin Cities,1,NCAA Division I-FBS,13884,113.0,61561973.0,27754757.0,27754757.0,Football
42899,University of Mississippi,1,NCAA Division I-FBS,7653,127.0,51212053.0,30175051.0,30175051.0,Football
42938,Mississippi State University,1,NCAA Division I-FBS,8131,123.0,29753690.0,23226169.0,23226169.0,Football
42975,University of Southern Mississippi,1,NCAA Division I-FBS,3766,110.0,6880893.0,6880893.0,6880893.0,Football
43196,University of Missouri-Columbia,1,NCAA Division I-FBS,10597,119.0,31426691.0,23659474.0,23659474.0,Football
43593,University of Nebraska-Lincoln,1,NCAA Division I-FBS,10175,128.0,92506833.0,46116924.0,46116924.0,Football
43658,University of Nevada-Las Vegas,1,NCAA Division I-FBS,8031,103.0,9982684.0,9982684.0,9982684.0,Football
43671,University of Nevada-Reno,1,NCAA Division I-FBS,7308,131.0,10037079.0,10037079.0,10037079.0,Football
44097,Rutgers University-New Brunswick,1,NCAA Division I-FBS,16844,120.0,25939804.0,25939804.0,25939804.0,Football
44234,University of New Mexico-Main Campus,1,NCAA Division I-FBS,6629,116.0,9719807.0,9682160.0,9682160.0,Football
44246,New Mexico State University-Main Campus,1,NCAA Division I-FBS,4394,112.0,7563062.0,7563062.0,7563062.0,Football
45386,University at Buffalo,1,NCAA Division I-FBS,11138,111.0,7730058.0,7730058.0,7730058.0,Football
45570,Syracuse University,1,NCAA Division I-FBS,6625,120.0,41533110.0,24994763.0,24994763.0,Football
45697,Appalachian State University,1,NCAA Division I-FBS,7172,120.0,9247671.0,9247671.0,9247671.0,Football
45807,Duke University,1,NCAA Division I-FBS,3261,115.0,37844852.0,26200992.0,26200992.0,Football
45820,East Carolina University,1,NCAA Division I-FBS,8643,132.0,11203863.0,10578112.0,10578112.0,Football
46012,University of North Carolina at Chapel Hill,1,NCAA Division I-FBS,7464,134.0,43122492.0,21068434.0,21068434.0,Football
46026,University of North Carolina at Charlotte,1,NCAA Division I-FBS,11060,123.0,9071759.0,9071759.0,9071759.0,Football
46043,North Carolina Central University,1,NCAA Division I-FBS,1805,128.0,4012412.0,4012412.0,4012412.0,Football
46051,North Carolina State University at Raleigh,1,NCAA Division I-FBS,11506,115.0,45214291.0,21321620.0,21321620.0,Football
46187,Wake Forest University,1,NCAA Division I-FBS,2346,105.0,25793812.0,19360660.0,19360660.0,Football
46333,University of Akron Main Campus,1,NCAA Division I-FBS,7144,105.0,7396137.0,7396137.0,7396137.0,Football
46376,Bowling Green State University-Main Campus,1,NCAA Division I-FBS,5630,102.0,6895955.0,6895955.0,6895955.0,Football
46433,University of Cincinnati-Main Campus,1,NCAA Division I-FBS,11897,114.0,13856255.0,13856255.0,13856255.0,Football
46572,Kent State University at Kent,1,NCAA Division I-FBS,7303,100.0,6889811.0,6889811.0,6889811.0,Football
46645,Miami University-Oxford,1,NCAA Division I-FBS,8118,119.0,8956175.0,8956176.0,8956176.0,Football
46759,Ohio State University-Main Campus,1,NCAA Division I-FBS,21626,128.0,110661057.0,46444134.0,46444134.0,Football
46778,Ohio University-Main Campus,1,NCAA Division I-FBS,8230,120.0,9334446.0,9292143.0,9292143.0,Football
46860,University of Toledo,1,NCAA Division I-FBS,6595,114.0,10691139.0,10691139.0,10691139.0,Football
47103,Oklahoma State University-Main Campus,1,NCAA Division I-FBS,9227,131.0,45717019.0,22467863.0,22467863.0,Football
47134,University of Oklahoma-Norman Campus,1,NCAA Division I-FBS,9455,116.0,102321307.0,39088102.0,39088102.0,Football
47201,University of Tulsa,1,NCAA Division I-FBS,1784,120.0,13882659.0,13882659.0,13882659.0,Football
47328,Oregon State University,1,NCAA Division I-FBS,9948,109.0,35238292.0,17323268.0,17323268.0,Football
47340,University of Oregon,1,NCAA Division I-FBS,8221,102.0,70542278.0,27716622.0,27716622.0,Football
48289,Pennsylvania State University-Main Campus,1,NCAA Division I-FBS,21053,124.0,100098956.0,45569892.0,45569892.0,Football
48411,University of Pittsburgh-Pittsburgh Campus,1,NCAA Division I-FBS,8877,111.0,36453643.0,27141760.0,27141760.0,Football
48566,Temple University,1,NCAA Division I-FBS,12400,125.0,21066698.0,21066698.0,21066698.0,Football
48933,Clemson University,1,NCAA Division I-FBS,9521,122.0,52029977.0,46302285.0,46302285.0,Football
49070,University of South Carolina-Columbia,1,NCAA Division I-FBS,11221,116.0,64415927.0,33317645.0,33317645.0,Football
49452,University of Memphis,1,NCAA Division I-FBS,5243,125.0,17569774.0,17569774.0,17569774.0,Football
49462,Middle Tennessee State University,1,NCAA Division I-FBS,7319,131.0,10052943.0,10052943.0,10052943.0,Football
49530,The University of Tennessee-Knoxville,1,NCAA Division I-FBS,10448,126.0,93890299.0,45343685.0,45343685.0,Football
49596,Vanderbilt University,1,NCAA Division I-FBS,3315,102.0,30331584.0,23476754.0,23476754.0,Football
49652,Baylor University,1,NCAA Division I-FBS,5801,121.0,41528041.0,28188097.0,28188097.0,Football
49807,University of Houston,1,NCAA Division I-FBS,13372,136.0,14216992.0,14216992.0,14216992.0,Football
49955,University of North Texas,1,NCAA Division I-FBS,12055,121.0,13663161.0,13663161.0,13663161.0,Football
50022,Rice University,1,NCAA Division I-FBS,2063,104.0,13329200.0,13329200.0,13329200.0,Football
50079,Southern Methodist University,1,NCAA Division I-FBS,3146,112.0,20465957.0,20465957.0,20465957.0,Football
50120,Texas State University,1,NCAA Division I-FBS,11701,120.0,6725212.0,7123686.0,7123686.0,Football
50165,Texas A & M University-College Station,1,NCAA Division I-FBS,24141,118.0,82564175.0,48119071.0,48119071.0,Football
50183,The University of Texas at Austin,1,NCAA Division I-FBS,17419,115.0,143064180.0,41250787.0,41250787.0,Football
50201,The University of Texas at El Paso,1,NCAA Division I-FBS,6809,136.0,13421668.0,11576933.0,11576933.0,Football
50221,Texas Christian University,1,NCAA Division I-FBS,3530,132.0,56584276.0,39154002.0,39154002.0,Football
50262,The University of Texas at San Antonio,1,NCAA Division I-FBS,10460,104.0,10548064.0,10548064.0,10548064.0,Football
50282,Texas Tech University,1,NCAA Division I-FBS,14524,129.0,45054306.0,20037020.0,20037020.0,Football
50367,Brigham Young University-Provo,1,NCAA Division I-FBS,14388,129.0,28209221.0,19435229.0,19435229.0,Football
50405,Utah State University,1,NCAA Division I-FBS,8281,110.0,10370950.0,10370950.0,10370950.0,Football
50427,University of Utah,1,NCAA Division I-FBS,9488,129.0,55835312.0,25609244.0,25609244.0,Football
50794,Old Dominion University,1,NCAA Division I-FBS,6805,117.0,10694948.0,10694948.0,10694948.0,Football
50908,Virginia Polytechnic Institute and State University,1,NCAA Division I-FBS,15074,123.0,55348135.0,27864229.0,27864229.0,Football
50930,University of Virginia-Main Campus,1,NCAA Division I-FBS,7211,103.0,32549903.0,22552489.0,22552489.0,Football
51202,Washington State University,1,NCAA Division I-FBS,10620,124.0,41709437.0,19963281.0,19963281.0,Football
51212,University of Washington-Seattle Campus,1,NCAA Division I-FBS,13404,113.0,81131079.0,38744975.0,38744975.0,Football
51350,Marshall University,1,NCAA Division I-FBS,3357,116.0,9609438.0,9609438.0,9609438.0,Football
51442,West Virginia University,1,NCAA Division I-FBS,11063,126.0,20543010.0,20961319.0,20961319.0,Football
51753,University of Wisconsin-Madison,1,NCAA Division I-FBS,13812,115.0,82423665.0,30153256.0,30153256.0,Football
51833,University of Wyoming,1,NCAA Division I-FBS,4235,111.0,13481960.0,10168112.0,10168112.0,Football
52027,Stanford University,1,NCAA Division I-FBS,3510,103.0,46847028.0,27000776.0,27000776.0,Football
52047,Purdue University-Main Campus,1,NCAA Division I-FBS,17529,120.0,25822409.0,27230929.0,27230929.0,Football
