year,institution_name,classification_code,classification_name,ef_male_count,partic_men,rev_men,exp_men,total_exp_menwomen,sports,Win Percentage
2019,Akron Main Campus,1,NCAA Division I-FBS,6104,110,7209428,7209428,7209428,Football,0.00%
2019,Alabama,1,NCAA Division I-FBS,13112,135,110110211,58508853,58508853,Football,84.60%
2019,Appalachian State University,1,NCAA Division I-FBS,7235,130,9188013,9188013,9188013,Football,92.90%
2019,Arizona,1,NCAA Division I-FBS,13334,108,38970927,21694477,21694477,Football,33.30%
2019,Arizona State University-Tempe,1,NCAA Division I-FBS,22447,126,49676376,32000572,32000572,Football,61.50%
2019,Arkansas,1,NCAA Division I-FBS,9374,128,70283699,43552590,43552590,Football,16.70%
2019,Arkansas State University-Main Campus,1,NCAA Division I-FBS,2710,123,7208166,7208166,7208166,Football,61.50%
2019,Auburn University,1,NCAA Division I-FBS,11379,122,97665511,45953519,45953519,Football,69.20%
2019,Ball State University,1,NCAA Division I-FBS,5892,116,7323546,7323546,7323546,Football,41.70%
2019,Baylor University,1,NCAA Division I-FBS,5521,120,56561243,35428721,35428721,Football,78.60%
2019,Boise State University,1,NCAA Division I-FBS,5817,109,20292836,14605795,14605795,Football,85.70%
2019,Boston College,1,NCAA Division I-FBS,4466,113,31795533,26709656,26709656,Football,46.20%
2019,Bowling Green State University-Main Campus,1,NCAA Division I-FBS,5592,110,7183946,7183946,7183946,Football,25.00%
2019,Brigham Young University-Provo,1,NCAA Division I-FBS,13997,123,25089124,18851350,18851350,Football,53.90%
2019,California-Berkeley,1,NCAA Division I-FBS,13824,121,36129629,31223684,31223684,Football,61.50%
2019,Central Florida,1,NCAA Division I-FBS,19221,125,27348503,20426060,20426060,Football,76.90%
2019,Central Michigan University,1,NCAA Division I-FBS,5284,112,8261430,8261430,8261430,Football,57.10%
2019,Cincinnati-Main Campus,1,NCAA Division I-FBS,12348,119,15782967,15782967,15782967,Football,78.60%
2019,Clemson University,1,NCAA Division I-FBS,9722,122,63120884,55912162,55912162,Football,93.30%
2019,Colorado Boulder,1,NCAA Division I-FBS,15568,122,50478934,22703444,22703444,Football,41.70%
2019,Colorado State University-Fort Collins,1,NCAA Division I-FBS,10315,114,26626422,26626422,26626422,Football,33.30%
2019,Connecticut,1,NCAA Division I-FBS,8903,100,12087816,16678989,16678989,Football,16.70%
2019,Duke University,1,NCAA Division I-FBS,3232,116,39669829,25177567,25177567,Football,41.70%
2019,East Carolina University,1,NCAA Division I-FBS,8347,108,11992339,11992339,11992339,Football,33.30%
2019,Eastern Michigan University,1,NCAA Division I-FBS,4174,119,8456325,8456325,8456325,Football,46.20%
2019,Florida,1,NCAA Division I-FBS,13590,115,94905944,37611096,37611096,Football,78.60%
2019,Florida Atlantic University,1,NCAA Division I-FBS,7112,123,12202880,12202880,12202880,Football,84.60%
2019,Florida International University,1,NCAA Division I-FBS,11828,99,12243022,12243022,12243022,Football,46.20%
2019,Florida State University,1,NCAA Division I-FBS,12557,114,71102595,67752719,67752719,Football,46.20%
2019,GA Southern,1,NCAA Division I-FBS,8415,125,6740685,8966676,8966676,Football,53.90%
2019,GA Tech,1,NCAA Division I-FBS,8508,115,28233839,27200382,27200382,Football,25.00%
2019,Georgia,1,NCAA Division I-FBS,11894,141,134463859,48501193,48501193,Football,85.70%
2019,Georgia State University,1,NCAA Division I-FBS,8903,111,8688303,8688303,8688303,Football,53.90%
2019,Hawaii at Manoa,1,NCAA Division I-FBS,4414,117,10421289,13027756,13027756,Football,66.70%
2019,Houston,1,NCAA Division I-FBS,13733,118,18177111,18177111,18177111,Football,33.30%
2019,Illinois at Urbana-Champaign,1,NCAA Division I-FBS,17294,109,65587081,26687666,26687666,Football,46.20%
2019,Indiana University-Bloomington,1,NCAA Division I-FBS,16072,119,56453582,29373452,29373452,Football,61.50%
2019,Iowa,1,NCAA Division I-FBS,9652,128,81421937,41688056,41688056,Football,76.90%
2019,Iowa State University,1,NCAA Division I-FBS,15180,135,52099696,29422443,29422443,Football,53.90%
2019,Kansas,1,NCAA Division I-FBS,8221,121,40592570,21961196,21961196,Football,25.00%
2019,Kansas State University,1,NCAA Division I-FBS,8127,131,45030255,22758496,22758496,Football,61.50%
2019,Kent State University at Kent,1,NCAA Division I-FBS,6880,101,4683781,7026033,7026033,Football,53.90%
2019,Kentucky,1,NCAA Division I-FBS,8985,120,44541081,30625733,30625733,Football,61.50%
2019,LA Lafayette,1,NCAA Division I-FBS,5256,137,11907780,11907780,11907780,Football,78.60%
2019,LA Monroe,1,NCAA Division I-FBS,1723,122,5806764,5806764,5806764,Football,41.70%
2019,LA Tech University,1,NCAA Division I-FBS,4272,105,8977470,8046418,8046418,Football,76.90%
2019,Louisville,1,NCAA Division I-FBS,5164,116,48923931,26694575,26694575,Football,61.50%
2019,LSU,1,NCAA Division I-FBS,10543,115,95063116,41403966,41403966,Football,100.00%
2019,Marshall University,1,NCAA Division I-FBS,3026,126,10175813,10175813,10175813,Football,61.50%
2019,Maryland-College Park,1,NCAA Division I-FBS,14602,116,44673149,21391499,21391499,Football,25.00%
2019,Memphis,1,NCAA Division I-FBS,5022,127,20831438,20831438,20831438,Football,85.70%
2019,Miami,1,NCAA Division I-FBS,4946,114,59453410,48945543,48945543,Football,46.20%
2019,Miami University-Oxford,1,NCAA Division I-FBS,8264,113,9291110,9291110,9291110,Football,57.10%
2019,Michigan State University,1,NCAA Division I-FBS,17461,118,68942427,43987682,43987682,Football,53.90%
2019,Michigan-Ann Arbor,1,NCAA Division I-FBS,14934,147,125773306,44684585,44684585,Football,69.20%
2019,Middle Tennessee State University,1,NCAA Division I-FBS,7353,131,10195755,10195755,10195755,Football,33.30%
2019,Minnesota-Twin Cities,1,NCAA Division I-FBS,13559,120,61719121,34187250,34187250,Football,84.60%
2019,Mississippi,1,NCAA Division I-FBS,6770,120,53015898,40408247,40408247,Football,33.30%
2019,Mississippi State University,1,NCAA Division I-FBS,8345,121,39962124,30506617,30506617,Football,46.20%
2019,Missouri-Columbia,1,NCAA Division I-FBS,9670,120,34701758,28644935,28644935,Football,50.00%
2019,Nebraska-Lincoln,1,NCAA Division I-FBS,9941,176,95848584,31601463,31601463,Football,41.70%
2019,Nevada-Reno,1,NCAA Division I-FBS,6936,128,10569596,10593220,10593220,Football,53.90%
2019,New Mexico Main Campus,1,NCAA Division I-FBS,5554,116,9603118,9600487,9600487,Football,16.70%
2019,New Mexico State University-Main Campus,1,NCAA Division I-FBS,4228,120,9228333,9228333,9228333,Football,16.70%
2019,North Carolina at Charlotte,1,NCAA Division I-FBS,11117,137,10614336,10614336,10614336,Football,53.90%
2019,North Carolina State University at Raleigh,1,NCAA Division I-FBS,11777,118,47562641,23330277,23330277,Football,33.30%
2019,North Texas,1,NCAA Division I-FBS,12112,110,10748868,10748868,10748868,Football,33.30%
2019,Northern Illinois University,1,NCAA Division I-FBS,5071,109,7438508,7438508,7438508,Football,41.70%
2019,Northwestern University,1,NCAA Division I-FBS,4028,115,59510410,33092234,33092234,Football,25.00%
2019,Notre Dame,1,NCAA Division I-FBS,4509,118,97944469,51387021,51387021,Football,84.60%
2019,Ohio,1,NCAA Division I-FBS,7223,120,8798541,8798541,8798541,Football,53.90%
2019,Ohio State,1,NCAA Division I-FBS,21770,125,115510031,52616230,52616230,Football,92.90%
2019,Oklahoma,1,NCAA Division I-FBS,9170,116,101881969,41455783,41455783,Football,85.70%
2019,Oklahoma State,1,NCAA Division I-FBS,8707,122,53503014,24398875,24398875,Football,61.50%
